Project Name,Package Name,Type Name,Design Smell,Cause of the Smell
hadoopcryptoledger,org.zuinnote.hadoop.bitcoin.example,MapReduceBitcoinBlockTest,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
hadoopcryptoledger,org.zuinnote.hadoop.bitcoin.example,MapReduceBitcoinTransactionTest,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
hadoopcryptoledger,org.zuinnote.hadoop.ethereum.example,MapReduceEthereumBlockTest,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
hadoopcryptoledger,org.zuinnote.flink.bitcoin,BitcoinBlockFlinkInputFormat,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): AbstractBitcoinFlinkInputFormat
hadoopcryptoledger,org.zuinnote.flink.bitcoin,BitcoinRawBlockFlinkInputFormat,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): AbstractBitcoinFlinkInputFormat
hadoopcryptoledger,org.zuinnote.flink.bitcoin,BitcoinTransactionFlinkInputFormat,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): AbstractBitcoinFlinkInputFormat
hadoopcryptoledger,org.zuinnote.flink.ethereum,EthereumBlockFlinkInputFormat,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): AbstractEthereumFlinkInputFormat
hadoopcryptoledger,org.zuinnote.flink.ethereum,EthereumRawBlockFlinkInputFormat,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): AbstractEthereumFlinkInputFormat
hadoopcryptoledger,org.zuinnote.hadoop.bitcoin.hive.datatypes,HiveBitcoinBlock,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 26 public methods
hadoopcryptoledger,org.zuinnote.hadoop.bitcoin.hive.serde,BitcoinBlockSerde,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: CONF_MAXBLOCKSIZE; CONF_FILTERMAGIC; CONF_USEDIRECTBUFFER; CONF_ISSPLITABLE; CONF_READAUXPOW; LOG; bitcoinBlockObjectInspector
hadoopcryptoledger,org.zuinnote.hadoop.bitcoin.hive.serde,BitcoinBlockStorageFormatDescriptor,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
hadoopcryptoledger,org.zuinnote.hadoop.ethereum.hive.datatypes,HiveEthereumBlockHeader,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 38 public methods
hadoopcryptoledger,org.zuinnote.hadoop.ethereum.hive.datatypes,HiveEthereumTransaction,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 28 public methods
hadoopcryptoledger,org.zuinnote.hadoop.ethereum.hive.serde,EthereumBlockSerde,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: CONF_MAXBLOCKSIZE; CONF_USEDIRECTBUFFER; LOG; ethereumBlockObjectInspector
hadoopcryptoledger,org.zuinnote.hadoop.ethereum.hive.serde,EthereumBlockStorageFormatDescriptor,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
hadoopcryptoledger,org.zuinnote.hadoop.ethereum.hive.udf,TestEthereumTransaction,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 28 public methods
hadoopcryptoledger,org.zuinnote.hadoop.bitcoin.format.common,BitcoinBlock,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 24 public methods
hadoopcryptoledger,org.zuinnote.hadoop.bitcoin.format.common,BitcoinBlockWritable,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): BitcoinBlock
hadoopcryptoledger,org.zuinnote.hadoop.bitcoin.format.common,BitcoinTransactionWritable,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
hadoopcryptoledger,org.zuinnote.hadoop.bitcoin.format.common,BitcoinTransactionWritable,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): BitcoinTransaction
hadoopcryptoledger,org.zuinnote.hadoop.bitcoin.format.common,BitcoinFormatReaderTest,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 55 public methods
hadoopcryptoledger,org.zuinnote.hadoop.bitcoin.format.common,BitcoinUtilTest,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 22 public methods
hadoopcryptoledger,org.zuinnote.hadoop.bitcoin.format.exception,BitcoinBlockReadException,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
hadoopcryptoledger,org.zuinnote.hadoop.bitcoin.format.exception,HadoopCryptoLedgerConfigurationException,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
hadoopcryptoledger,org.zuinnote.hadoop.bitcoin.format.mapred,AbstractBitcoinFileInputFormat,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: CONF_ISSPLITABLE; DEFAULT_ISSPLITABLE; isSplitable; compressionCodecs
hadoopcryptoledger,org.zuinnote.hadoop.bitcoin.format.mapred,AbstractBitcoinRecordReader,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: CONF_BUFFERSIZE; CONF_MAXBLOCKSIZE; CONF_FILTERMAGIC; CONF_USEDIRECTBUFFER; CONF_READAUXPOW; DEFAULT_BUFFERSIZE; DEFAULT_MAXSIZE_BITCOINBLOCK; DEFAULT_MAGIC; DEFAULT_USEDIRECTBUFFER; DEFAULT_READAUXPOW; LOG; bufferSize; maxSizeBitcoinBlock; useDirectBuffer; readAuxPOW; specificMagic; specificMagicStringArray; specificMagicByteArray; codec; decompressor; reporter; conf; start; end; filePosition; fileIn; bbr
hadoopcryptoledger,org.zuinnote.hadoop.bitcoin.format.mapred,BitcoinBlockRecordReader,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): AbstractBitcoinRecordReader
hadoopcryptoledger,org.zuinnote.hadoop.bitcoin.format.mapred,BitcoinRawBlockRecordReader,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): AbstractBitcoinRecordReader
