Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
hadoopcryptoledger,org.zuinnote.hadoop.bitcoin.example,MapReduceBitcoinBlockIntegrationTest,oneTimeSetUp,Magic Number,The method contains a magic number: 64,83
hadoopcryptoledger,org.zuinnote.hadoop.bitcoin.example,MapReduceBitcoinBlockIntegrationTest,mapReduceGenesisBlock,Long Statement,The length of the statement "int res=ToolRunner.run(miniCluster.getConfig()`new BitcoinBlockCounterDriver()`new String[]{dfsCluster.getFileSystem().getUri().toString() + DFS_INPUT_DIR_NAME`dfsCluster.getFileSystem().getUri().toString() + DFS_OUTPUT_DIR_NAME});" is 231.,172
hadoopcryptoledger,org.zuinnote.hadoop.bitcoin.example,MapReduceBitcoinBlockIntegrationTest,openFile,Long Statement,The length of the statement "final SplitCompressionInputStream cIn=((SplittableCompressionCodec)codec).createInputStream(fileIn`decompressor`0`end`SplittableCompressionCodec.READ_MODE.CONTINUOUS);" is 167.,233
hadoopcryptoledger,org.zuinnote.hadoop.bitcoin.example,MapReduceBitcoinBlockTest,reduce,Magic Number,The method contains a magic number: 2,83
hadoopcryptoledger,org.zuinnote.hadoop.bitcoin.example,MapReduceBitcoinBlockTest,reduce,Magic Number,The method contains a magic number: 3,83
hadoopcryptoledger,org.zuinnote.hadoop.bitcoin.example,MapReduceBitcoinTransactionIntegrationTest,oneTimeSetUp,Magic Number,The method contains a magic number: 64,83
hadoopcryptoledger,org.zuinnote.hadoop.bitcoin.example,MapReduceBitcoinTransactionIntegrationTest,mapReduceGenesisBlock,Long Statement,The length of the statement "int res=ToolRunner.run(miniCluster.getConfig()`new BitcoinTransactionCounterDriver()`new String[]{dfsCluster.getFileSystem().getUri().toString() + DFS_INPUT_DIR_NAME`dfsCluster.getFileSystem().getUri().toString() + DFS_OUTPUT_DIR_NAME});" is 237.,172
hadoopcryptoledger,org.zuinnote.hadoop.bitcoin.example,MapReduceBitcoinTransactionIntegrationTest,openFile,Long Statement,The length of the statement "final SplitCompressionInputStream cIn=((SplittableCompressionCodec)codec).createInputStream(fileIn`decompressor`0`end`SplittableCompressionCodec.READ_MODE.CONTINUOUS);" is 167.,233
hadoopcryptoledger,org.zuinnote.hadoop.bitcoin.example,MapReduceBitcoinTransactionTest,map,Long Statement,The length of the statement "final BitcoinTransaction value=new BitcoinTransaction(0`new byte[0]`new ArrayList<BitcoinTransactionInput>()`new byte[0]`new ArrayList<BitcoinTransactionOutput>()`0);" is 166.,69
hadoopcryptoledger,org.zuinnote.hadoop.bitcoin.example,MapReduceBitcoinTransactionTest,reduce,Magic Number,The method contains a magic number: 2,82
hadoopcryptoledger,org.zuinnote.hadoop.bitcoin.example,MapReduceBitcoinTransactionTest,reduce,Magic Number,The method contains a magic number: 3,82
hadoopcryptoledger,org.zuinnote.hadoop.ethereum.example,MapReduceEthereumBlockIntegrationTest,oneTimeSetUp,Magic Number,The method contains a magic number: 64,83
hadoopcryptoledger,org.zuinnote.hadoop.ethereum.example,MapReduceEthereumBlockIntegrationTest,mapReduceBlock1346406,Long Statement,The length of the statement "int res=ToolRunner.run(miniCluster.getConfig()`new EthereumBlockCounterDriver()`new String[]{dfsCluster.getFileSystem().getUri().toString() + DFS_INPUT_DIR_NAME`dfsCluster.getFileSystem().getUri().toString() + DFS_OUTPUT_DIR_NAME});" is 232.,172
hadoopcryptoledger,org.zuinnote.hadoop.ethereum.example,MapReduceEthereumBlockIntegrationTest,openFile,Long Statement,The length of the statement "final SplitCompressionInputStream cIn=((SplittableCompressionCodec)codec).createInputStream(fileIn`decompressor`0`end`SplittableCompressionCodec.READ_MODE.CONTINUOUS);" is 167.,233
hadoopcryptoledger,org.zuinnote.hadoop.ethereum.example,MapReduceEthereumBlockTest,reduce,Magic Number,The method contains a magic number: 2,82
hadoopcryptoledger,org.zuinnote.hadoop.ethereum.example,MapReduceEthereumBlockTest,reduce,Magic Number,The method contains a magic number: 3,82
