Project Name,Package Name,Type Name,Method Name,LOC,CC,PC,Line no
hadoopcryptoledger,org.zuinnote.hadoop.bitcoin.example,MapReduceBitcoinBlockIntegrationTest,oneTimeSetUp,39,2,0,83
hadoopcryptoledger,org.zuinnote.hadoop.bitcoin.example,MapReduceBitcoinBlockIntegrationTest,run,21,2,0,91
hadoopcryptoledger,org.zuinnote.hadoop.bitcoin.example,MapReduceBitcoinBlockIntegrationTest,visitFile,4,1,2,96
hadoopcryptoledger,org.zuinnote.hadoop.bitcoin.example,MapReduceBitcoinBlockIntegrationTest,postVisitDirectory,7,2,2,103
hadoopcryptoledger,org.zuinnote.hadoop.bitcoin.example,MapReduceBitcoinBlockIntegrationTest,oneTimeTearDown,4,1,0,133
hadoopcryptoledger,org.zuinnote.hadoop.bitcoin.example,MapReduceBitcoinBlockIntegrationTest,setUp,3,1,0,141
hadoopcryptoledger,org.zuinnote.hadoop.bitcoin.example,MapReduceBitcoinBlockIntegrationTest,tearDown,9,3,0,147
hadoopcryptoledger,org.zuinnote.hadoop.bitcoin.example,MapReduceBitcoinBlockIntegrationTest,checkTestDataGenesisBlockAvailable,9,1,0,161
hadoopcryptoledger,org.zuinnote.hadoop.bitcoin.example,MapReduceBitcoinBlockIntegrationTest,mapReduceGenesisBlock,12,1,0,172
hadoopcryptoledger,org.zuinnote.hadoop.bitcoin.example,MapReduceBitcoinBlockIntegrationTest,readDefaultResults,16,3,1,197
hadoopcryptoledger,org.zuinnote.hadoop.bitcoin.example,MapReduceBitcoinBlockIntegrationTest,openFile,19,3,1,233
hadoopcryptoledger,org.zuinnote.hadoop.bitcoin.example,MapReduceBitcoinBlockTest,oneTimeSetUp,2,1,0,51
hadoopcryptoledger,org.zuinnote.hadoop.bitcoin.example,MapReduceBitcoinBlockTest,oneTimeTearDown,2,1,0,56
hadoopcryptoledger,org.zuinnote.hadoop.bitcoin.example,MapReduceBitcoinBlockTest,setUp,2,1,0,61
hadoopcryptoledger,org.zuinnote.hadoop.bitcoin.example,MapReduceBitcoinBlockTest,tearDown,2,1,0,65
hadoopcryptoledger,org.zuinnote.hadoop.bitcoin.example,MapReduceBitcoinBlockTest,map,16,1,1,69
hadoopcryptoledger,org.zuinnote.hadoop.bitcoin.example,MapReduceBitcoinBlockTest,reduce,18,1,1,83
hadoopcryptoledger,org.zuinnote.hadoop.bitcoin.example,MapReduceBitcoinTransactionIntegrationTest,oneTimeSetUp,39,2,0,83
hadoopcryptoledger,org.zuinnote.hadoop.bitcoin.example,MapReduceBitcoinTransactionIntegrationTest,run,21,2,0,91
hadoopcryptoledger,org.zuinnote.hadoop.bitcoin.example,MapReduceBitcoinTransactionIntegrationTest,visitFile,4,1,2,96
hadoopcryptoledger,org.zuinnote.hadoop.bitcoin.example,MapReduceBitcoinTransactionIntegrationTest,postVisitDirectory,7,2,2,103
hadoopcryptoledger,org.zuinnote.hadoop.bitcoin.example,MapReduceBitcoinTransactionIntegrationTest,oneTimeTearDown,4,1,0,133
hadoopcryptoledger,org.zuinnote.hadoop.bitcoin.example,MapReduceBitcoinTransactionIntegrationTest,setUp,3,1,0,141
hadoopcryptoledger,org.zuinnote.hadoop.bitcoin.example,MapReduceBitcoinTransactionIntegrationTest,tearDown,9,3,0,147
hadoopcryptoledger,org.zuinnote.hadoop.bitcoin.example,MapReduceBitcoinTransactionIntegrationTest,checkTestDataGenesisBlockAvailable,9,1,0,161
hadoopcryptoledger,org.zuinnote.hadoop.bitcoin.example,MapReduceBitcoinTransactionIntegrationTest,mapReduceGenesisBlock,12,1,0,172
hadoopcryptoledger,org.zuinnote.hadoop.bitcoin.example,MapReduceBitcoinTransactionIntegrationTest,readDefaultResults,16,3,1,197
hadoopcryptoledger,org.zuinnote.hadoop.bitcoin.example,MapReduceBitcoinTransactionIntegrationTest,openFile,19,3,1,233
hadoopcryptoledger,org.zuinnote.hadoop.bitcoin.example,MapReduceBitcoinTransactionTest,oneTimeSetUp,2,1,0,51
hadoopcryptoledger,org.zuinnote.hadoop.bitcoin.example,MapReduceBitcoinTransactionTest,oneTimeTearDown,2,1,0,56
hadoopcryptoledger,org.zuinnote.hadoop.bitcoin.example,MapReduceBitcoinTransactionTest,setUp,2,1,0,61
hadoopcryptoledger,org.zuinnote.hadoop.bitcoin.example,MapReduceBitcoinTransactionTest,tearDown,2,1,0,65
hadoopcryptoledger,org.zuinnote.hadoop.bitcoin.example,MapReduceBitcoinTransactionTest,map,15,1,1,69
hadoopcryptoledger,org.zuinnote.hadoop.bitcoin.example,MapReduceBitcoinTransactionTest,reduce,18,1,1,82
