Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT,File path,Line no
hadoopcryptoledger,org.zuinnote.hadoop.bitcoin.example,MapReduceBitcoinBlockIntegrationTest,14,0,11,9,131,20,0,0,0.36363636363636365,0,0,C:\Users\welcome\Desktop\Dal Coursework\Winter_2022\CSCI 5308\Assignments\Assignment_3\hadoopcryptoledger\examples\mapreduce-bitcoinblock\src\integration-test\java\org\zuinnote\hadoop\bitcoin\example\MapReduceBitcoinBlockIntegrationTest.java,66
hadoopcryptoledger,org.zuinnote.hadoop.bitcoin.example,MapReduceBitcoinBlockTest,0,0,6,6,44,6,0,0,-1.0,0,3,C:\Users\welcome\Desktop\Dal Coursework\Winter_2022\CSCI 5308\Assignments\Assignment_3\hadoopcryptoledger\examples\mapreduce-bitcoinblock\src\test\java\org\zuinnote\hadoop\bitcoin\example\MapReduceBitcoinBlockTest.java,48
hadoopcryptoledger,org.zuinnote.hadoop.bitcoin.example,MapReduceBitcoinTransactionIntegrationTest,14,0,11,9,131,20,0,0,0.36363636363636365,0,0,C:\Users\welcome\Desktop\Dal Coursework\Winter_2022\CSCI 5308\Assignments\Assignment_3\hadoopcryptoledger\examples\mapreduce-bitcointransaction\src\integration-test\java\org\zuinnote\hadoop\bitcoin\example\MapReduceBitcoinTransactionIntegrationTest.java,66
hadoopcryptoledger,org.zuinnote.hadoop.bitcoin.example,MapReduceBitcoinTransactionTest,0,0,6,6,43,6,0,0,-1.0,0,3,C:\Users\welcome\Desktop\Dal Coursework\Winter_2022\CSCI 5308\Assignments\Assignment_3\hadoopcryptoledger\examples\mapreduce-bitcointransaction\src\test\java\org\zuinnote\hadoop\bitcoin\example\MapReduceBitcoinTransactionTest.java,48
hadoopcryptoledger,org.zuinnote.hadoop.bitcoin.example.driver,BitcoinBlockCounterDriver,0,0,3,3,29,3,0,0,-1.0,1,3,C:\Users\welcome\Desktop\Dal Coursework\Winter_2022\CSCI 5308\Assignments\Assignment_3\hadoopcryptoledger\examples\mapreduce-bitcoinblock\src\main\java\org\zuinnote\hadoop\bitcoin\example\driver\BitcoinBlockCounterDriver.java,37
hadoopcryptoledger,org.zuinnote.hadoop.bitcoin.example.driver,BitcoinTransactionCounterDriver,0,0,3,3,29,3,0,0,-1.0,1,3,C:\Users\welcome\Desktop\Dal Coursework\Winter_2022\CSCI 5308\Assignments\Assignment_3\hadoopcryptoledger\examples\mapreduce-bitcointransaction\src\main\java\org\zuinnote\hadoop\bitcoin\example\driver\BitcoinTransactionCounterDriver.java,38
hadoopcryptoledger,org.zuinnote.hadoop.bitcoin.example.tasks,BitcoinBlockMap,1,0,3,3,10,3,0,0,1.0,2,0,C:\Users\welcome\Desktop\Dal Coursework\Winter_2022\CSCI 5308\Assignments\Assignment_3\hadoopcryptoledger\examples\mapreduce-bitcoinblock\src\main\java\org\zuinnote\hadoop\bitcoin\example\tasks\BitcoinBlockMap.java,37
hadoopcryptoledger,org.zuinnote.hadoop.bitcoin.example.tasks,BitcoinBlockReducer,1,0,1,1,11,2,0,0,0.0,2,0,C:\Users\welcome\Desktop\Dal Coursework\Winter_2022\CSCI 5308\Assignments\Assignment_3\hadoopcryptoledger\examples\mapreduce-bitcoinblock\src\main\java\org\zuinnote\hadoop\bitcoin\example\tasks\BitcoinBlockReducer.java,32
hadoopcryptoledger,org.zuinnote.hadoop.bitcoin.example.tasks,BitcoinTransactionMap,1,0,3,3,10,3,0,0,1.0,2,0,C:\Users\welcome\Desktop\Dal Coursework\Winter_2022\CSCI 5308\Assignments\Assignment_3\hadoopcryptoledger\examples\mapreduce-bitcointransaction\src\main\java\org\zuinnote\hadoop\bitcoin\example\tasks\BitcoinTransactionMap.java,36
hadoopcryptoledger,org.zuinnote.hadoop.bitcoin.example.tasks,BitcoinTransactionReducer,1,0,1,1,11,2,0,0,0.0,2,0,C:\Users\welcome\Desktop\Dal Coursework\Winter_2022\CSCI 5308\Assignments\Assignment_3\hadoopcryptoledger\examples\mapreduce-bitcointransaction\src\main\java\org\zuinnote\hadoop\bitcoin\example\tasks\BitcoinTransactionReducer.java,32
hadoopcryptoledger,org.zuinnote.hadoop.ethereum.example,MapReduceEthereumBlockIntegrationTest,14,0,11,9,131,20,0,0,0.36363636363636365,0,0,C:\Users\welcome\Desktop\Dal Coursework\Winter_2022\CSCI 5308\Assignments\Assignment_3\hadoopcryptoledger\examples\mapreduce-ethereumblock\src\integration-test\java\org\zuinnote\hadoop\ethereum\example\MapReduceEthereumBlockIntegrationTest.java,66
hadoopcryptoledger,org.zuinnote.hadoop.ethereum.example,MapReduceEthereumBlockTest,0,0,6,6,43,6,0,0,-1.0,0,3,C:\Users\welcome\Desktop\Dal Coursework\Winter_2022\CSCI 5308\Assignments\Assignment_3\hadoopcryptoledger\examples\mapreduce-ethereumblock\src\test\java\org\zuinnote\hadoop\ethereum\example\MapReduceEthereumBlockTest.java,48
hadoopcryptoledger,org.zuinnote.hadoop.ethereum.example.driver,EthereumBlockCounterDriver,0,0,3,3,29,3,0,0,-1.0,1,4,C:\Users\welcome\Desktop\Dal Coursework\Winter_2022\CSCI 5308\Assignments\Assignment_3\hadoopcryptoledger\examples\mapreduce-ethereumblock\src\main\java\org\zuinnote\hadoop\ethereum\example\driver\EthereumBlockCounterDriver.java,36
hadoopcryptoledger,org.zuinnote.hadoop.ethereum.example.tasks,EthereumBlockMap,1,0,3,3,10,3,0,0,1.0,2,1,C:\Users\welcome\Desktop\Dal Coursework\Winter_2022\CSCI 5308\Assignments\Assignment_3\hadoopcryptoledger\examples\mapreduce-ethereumblock\src\main\java\org\zuinnote\hadoop\ethereum\example\tasks\EthereumBlockMap.java,36
hadoopcryptoledger,org.zuinnote.hadoop.ethereum.example.tasks,EthereumBlockReducer,1,0,1,1,11,2,0,0,0.0,2,0,C:\Users\welcome\Desktop\Dal Coursework\Winter_2022\CSCI 5308\Assignments\Assignment_3\hadoopcryptoledger\examples\mapreduce-ethereumblock\src\main\java\org\zuinnote\hadoop\ethereum\example\tasks\EthereumBlockReducer.java,32
hadoopcryptoledger,org.zuinnote.spark.bitcoin.example,SparkBitcoinBlockCounterSparkMasterIntegrationTest,15,0,11,9,131,21,0,0,0.36363636363636365,0,1,C:\Users\welcome\Desktop\Dal Coursework\Winter_2022\CSCI 5308\Assignments\Assignment_3\hadoopcryptoledger\examples\spark-bitcoinblock\src\integration-test\java\org\zuinnote\spark\bitcoin\example\SparkBitcoinBlockCounterSparkMasterIntegrationTest.java,65
