animal_guid,length,length_type,weight,life_stage,age,sex
OTN-GlobalFROFRO-T14,0.561,FORK,2.35,Null,Null,U
OTN-GlobalFROFRO-T2,0.576,FORK,2.53,Null,Null,U
OTN-GlobalFROFRO-T25,0.57,FORK,2.41,Null,Null,U
OTN-GlobalFROFRO-T26,0.6,FORK,2.8,Null,Null,U
OTN-GlobalFROFRO-T27,0.55,FORK,2.17,Null,Null,U
OTN-GlobalFROFRO-T28,0.49,FORK,1.55,Null,Null,U
OTN-GlobalFROFRO-T29,0.45,FORK,1.24,Null,Null,U
OTN-GlobalFROFRO-T5,0.521,FORK,1.89,Null,Null,U
OTN-GlobalFROFRO-T1,0.556,FORK,2.29,Null,Null,U
OTN-GlobalFROFRO-T41,0.54,FORK,2.15,Null,Null,U
OTN-GlobalFROFRO-T8,0.588,FORK,2.69,Null,Null,U
OTN-GlobalFROFRO-T7,0.64,FORK,3.44,Null,Null,U
OTN-GlobalFROFRO-T4,0.54,FORK,2.1,Null,Null,U
OTN-GlobalFROFRO-T6,0.612,FORK,3.02,Null,Null,U
OTN-GlobalFROFRO-T9,0.6,FORK,2.85,Null,Null,U
OTN-GlobalFROFRO-T10,0.544,FORK,2.15,Null,Null,U
OTN-GlobalFROFRO-T13,0.586,FORK,2.66,Null,Null,U
OTN-GlobalFROFRO-T11,0.596,FORK,2.8,Null,Null,U
OTN-GlobalFROFRO-T12,0.54,FORK,2.1,Null,Null,U
OTN-GlobalFROFRO-T33,0.53,FORK,1.97,Null,Null,U
OTN-GlobalFROFRO-T31,0.53,FORK,1.99,Null,Null,U
OTN-GlobalFROFRO-T32,0.57,FORK,2.41,Null,Null,U
OTN-GlobalFROFRO-T16,0.554,FORK,2.26,Null,Null,U
OTN-GlobalFROFRO-T35,0.31,FORK,0.4,Null,Null,U
OTN-GlobalFROFRO-T30,0.36,FORK,0.66,Null,Null,U
OTN-GlobalFROFRO-T34,0.33,FORK,0.5,Null,Null,U
OTN-GlobalFROFRO-T37,0.31,FORK,0.43,Null,Null,U
OTN-GlobalFROFRO-T36,0.32,FORK,0.46,Null,Null,U
OTN-GlobalFROFRO-T18,0.519,FORK,1.87,Null,Null,U
OTN-GlobalFROFRO-T17,0.556,FORK,2.29,Null,Null,U
OTN-GlobalFROFRO-T19,0.634,FORK,3.34,Null,Null,U
OTN-GlobalFROFRO-T20,0.585,FORK,2.65,Null,Null,U
OTN-GlobalFROFRO-T15,0.569,FORK,2.44,Null,Null,U
OTN-GlobalFROFRO-T24,0.57,FORK,2.48,Null,Null,U
OTN-GlobalFROFRO-T22,0.646,FORK,3.53,Null,Null,U
OTN-GlobalFROFRO-T21,0.61,FORK,2.99,Null,Null,U
OTN-GlobalFROFRO-T23,0.58,FORK,2.58,Null,Null,U
OTN-GlobalFROFRO-T42,0.6,FORK,1.91,Null,Null,U
OTN-GlobalFROFRO-T43,0.278,FORK,0.12,Null,Null,U
OTN-GlobalFROFRO-T44,0.492,FORK,1,Null,Null,U
OTN-GlobalFROFRO-T45,0.329,FORK,0.31,Null,Null,U
OTN-GlobalFROFRO-T46,0.714,FORK,3.82,Null,Null,U
OTN-GlobalFROFRO-T47,0.6,FORK,2.2,Null,Null,U
OTN-GlobalFROFRO-T48,0.567,FORK,1.84,Null,Null,U
OTN-GlobalFROFRO-T49,0.619,FORK,2.43,Null,Null,U
OTN-GlobalFROFRO-T50,0.534,FORK,1.52,Null,Null,U
OTN-GlobalFROFRO-T51,0.616,FORK,2.39,Null,Null,U
OTN-GlobalFROFRO-T52,0.618,FORK,2.42,Null,Null,U
OTN-GlobalFROFRO-T53,0.566,FORK,1.83,Null,Null,U
OTN-GlobalFROFRO-T54,0.507,FORK,1.29,Null,Null,U
OTN-GlobalFROFRO-T55,0.579,FORK,1.96,Null,Null,U
OTN-GlobalFROFRO-T56,0.525,FORK,1.44,Null,Null,U
OTN-GlobalFROFRO-T57,0.32,FORK,0.3,Null,Null,U
OTN-GlobalFROFRO-T58,0.509,FORK,1.31,Null,Null,U
OTN-GlobalFROFRO-T59,0.37,FORK,0.47,Null,Null,U
OTN-GlobalFROFRO-T60,0.545,FORK,1.62,Null,Null,U
OTN-GlobalFROFRO-T61,0.533,FORK,1.3,Null,Null,U
OTN-GlobalFROFRO-T39,0.62,FORK,3.08,Null,Null,U
