detection_project_reference,datacenter_reference,detection_id,detection_guid,transmitter_codespace,transmitter_id,detection_transmittername
ALSEA,nep,ALSEA-4955221,nepALSEAALSEA-4955221,A69-1303,56479,A69-1303-56479
ALSEA,nep,ALSEA-4955222,nepALSEAALSEA-4955222,A69-1303,56479,A69-1303-56479
ALSEA,nep,ALSEA-4955223,nepALSEAALSEA-4955223,A69-1303,56479,A69-1303-56479
ALSEA,nep,ALSEA-4955224,nepALSEAALSEA-4955224,A69-1303,56479,A69-1303-56479
ALSEA,nep,ALSEA-4955225,nepALSEAALSEA-4955225,A69-1303,56479,A69-1303-56479
ALSEA,nep,ALSEA-4955226,nepALSEAALSEA-4955226,A69-1303,56479,A69-1303-56479
ALSEA,nep,ALSEA-4955227,nepALSEAALSEA-4955227,A69-1303,56479,A69-1303-56479
ALSEA,nep,ALSEA-4955228,nepALSEAALSEA-4955228,A69-1303,56479,A69-1303-56479
ALSEA,nep,ALSEA-4955229,nepALSEAALSEA-4955229,A69-1303,56479,A69-1303-56479
ALSEA,nep,ALSEA-4955230,nepALSEAALSEA-4955230,A69-1303,56479,A69-1303-56479
ALSEA,nep,ALSEA-4955231,nepALSEAALSEA-4955231,A69-1303,56479,A69-1303-56479
ALSEA,nep,ALSEA-4955232,nepALSEAALSEA-4955232,A69-1303,56479,A69-1303-56479
ALSEA,nep,ALSEA-4955233,nepALSEAALSEA-4955233,A69-1303,56479,A69-1303-56479
ALSEA,nep,ALSEA-4955234,nepALSEAALSEA-4955234,A69-1303,56479,A69-1303-56479
ALSEA,nep,ALSEA-4955235,nepALSEAALSEA-4955235,A69-1303,56479,A69-1303-56479
ALSEA,nep,ALSEA-4955236,nepALSEAALSEA-4955236,A69-1303,56479,A69-1303-56479
ALSEA,nep,ALSEA-4955237,nepALSEAALSEA-4955237,A69-1303,56479,A69-1303-56479
ALSEA,nep,ALSEA-4955238,nepALSEAALSEA-4955238,A69-1303,56479,A69-1303-56479
ALSEA,nep,ALSEA-4955239,nepALSEAALSEA-4955239,A69-1303,56479,A69-1303-56479
ALSEA,nep,ALSEA-4955240,nepALSEAALSEA-4955240,A69-1303,56479,A69-1303-56479
ALSEA,nep,ALSEA-4955241,nepALSEAALSEA-4955241,A69-1303,56479,A69-1303-56479
ALSEA,nep,ALSEA-4955242,nepALSEAALSEA-4955242,A69-1303,56479,A69-1303-56479
ALSEA,nep,ALSEA-4955243,nepALSEAALSEA-4955243,A69-1303,56479,A69-1303-56479
ALSEA,nep,ALSEA-4955244,nepALSEAALSEA-4955244,A69-1303,56428,A69-1303-56428
ALSEA,nep,ALSEA-4955245,nepALSEAALSEA-4955245,A69-1303,56428,A69-1303-56428
ALSEA,nep,ALSEA-4955246,nepALSEAALSEA-4955246,A69-1303,56428,A69-1303-56428
ALSEA,nep,ALSEA-4955247,nepALSEAALSEA-4955247,A69-1303,56428,A69-1303-56428
ALSEA,nep,ALSEA-4955248,nepALSEAALSEA-4955248,A69-1303,56428,A69-1303-56428
ALSEA,nep,ALSEA-4955249,nepALSEAALSEA-4955249,A69-1303,56428,A69-1303-56428
ALSEA,nep,ALSEA-4955250,nepALSEAALSEA-4955250,A69-1303,56428,A69-1303-56428
ALSEA,nep,ALSEA-4955251,nepALSEAALSEA-4955251,A69-1303,56428,A69-1303-56428
ALSEA,nep,ALSEA-4955252,nepALSEAALSEA-4955252,A69-1303,56428,A69-1303-56428
ALSEA,nep,ALSEA-4955253,nepALSEAALSEA-4955253,A69-1303,56428,A69-1303-56428
