datacenter_reference,deployment_id,deployment_guid,receiver_manufacturer,receiver_model,receiver_serial_number,receiver_reference_type,receiver_reference_id
OTN-Global,ASF-West Line D-VR2-2272-2009,OTN-GlobalASFASF-West Line D-VR2-2272-2009,VEMCO,VR2,2272,ManmadePlatform,ASF_ASF-West Line D
OTN-Global,ASF-WYERS POOL-Kedgewick-VR2-2603-2006,OTN-GlobalASFASF-WYERS POOL-Kedgewick-VR2-2603-2006,VEMCO,VR2,2603,ManmadePlatform,ASF_ASF-WYERS POOL-Kedgewick
OTN-Global,ASF-WYERS POOL-Kedgewick-VR2-3342-2005,OTN-GlobalASFASF-WYERS POOL-Kedgewick-VR2-3342-2005,VEMCO,VR2,3342,ManmadePlatform,ASF_ASF-WYERS POOL-Kedgewick
OTN-Global,ASF-2 km Upriver of the Oxbow-VR2-1135-2007,OTN-GlobalASFASF-2 km Upriver of the Oxbow-VR2-1135-2007,VEMCO,VR2,1135,ManmadePlatform,ASF_ASF-2 km Upriver of the Oxbow
OTN-Global,ASF-Above Falls-VR2-3335-2008,OTN-GlobalASFASF-Above Falls-VR2-3335-2008,VEMCO,VR2,3335,ManmadePlatform,ASF_ASF-Above Falls
OTN-Global,ASF-Above Falls-VR2-3335-2009,OTN-GlobalASFASF-Above Falls-VR2-3335-2009,VEMCO,VR2,3335,ManmadePlatform,ASF_ASF-Above Falls
OTN-Global,ASF-Above Falls-VR2-3342-2010,OTN-GlobalASFASF-Above Falls-VR2-3342-2010,VEMCO,VR2,3342,ManmadePlatform,ASF_ASF-Above Falls
OTN-Global,ASF-Above Falls-VR2-3349-2009,OTN-GlobalASFASF-Above Falls-VR2-3349-2009,VEMCO,VR2,3349,ManmadePlatform,ASF_ASF-Above Falls
OTN-Global,ASF-Above Falls-VR2-3357-2007,OTN-GlobalASFASF-Above Falls-VR2-3357-2007,VEMCO,VR2,3357,ManmadePlatform,ASF_ASF-Above Falls
OTN-Global,ASF-Above Falls-VR2-5032-2010,OTN-GlobalASFASF-Above Falls-VR2-5032-2010,VEMCO,VR2,5032,ManmadePlatform,ASF_ASF-Above Falls
OTN-Global,ASF-Anticosti Island 1-VR2-2587-2010,OTN-GlobalASFASF-Anticosti Island 1-VR2-2587-2010,VEMCO,VR2,2587,ManmadePlatform,ASF_ASF-Anticosti Island 1
OTN-Global,ASF-Anticosti Island 2-VR2-2581-2010,OTN-GlobalASFASF-Anticosti Island 2-VR2-2581-2010,VEMCO,VR2,2581,ManmadePlatform,ASF_ASF-Anticosti Island 2
OTN-Global,ASF-Anticosti Island 3-VR2-3335-2010,OTN-GlobalASFASF-Anticosti Island 3-VR2-3335-2010,VEMCO,VR2,3335,ManmadePlatform,ASF_ASF-Anticosti Island 3
OTN-Global,ASF-Anticosti Island 4-VR2-3346-2010,OTN-GlobalASFASF-Anticosti Island 4-VR2-3346-2010,VEMCO,VR2,3346,ManmadePlatform,ASF_ASF-Anticosti Island 4
OTN-Global,EST-Gamtoos-VR2W-119101-3,OTN-GlobalSAFEST-Gamtoos-VR2W-119101-3,,VR2W,119101,ManmadePlatform,SAF_EST-Gamtoos
OTN-Global,EST-Gouritz-U22-001-10098862-2,OTN-GlobalSAFEST-Gouritz-U22-001-10098862-2,,U22-001,10098862,ManmadePlatform,SAF_EST-Gouritz
OTN-Global,EST-Gouritz-VR2W-102853-2,OTN-GlobalSAFEST-Gouritz-VR2W-102853-2,,VR2W,102853,ManmadePlatform,SAF_EST-Gouritz
OTN-Global,EST-Keiskamma-U22-001-10098859-2,OTN-GlobalSAFEST-Keiskamma-U22-001-10098859-2,,U22-001,10098859,ManmadePlatform,SAF_EST-Keiskamma
OTN-Global,EST-Keiskamma-VR2W-120163-2,OTN-GlobalSAFEST-Keiskamma-VR2W-120163-2,,VR2W,120163,ManmadePlatform,SAF_EST-Keiskamma
OTN-Global,EST-Swartkops-VR2W-119095-3,OTN-GlobalSAFEST-Swartkops-VR2W-119095-3,,VR2W,119095,ManmadePlatform,SAF_EST-Swartkops
OTN-Global,ESTSundays-VR2W-112441-4,OTN-GlobalSAFESTSundays-VR2W-112441-4,,VR2W,112441,ManmadePlatform,SAF_SAF-Sundays
OTN-Global,GSBGSB001-VR2W-119624-3,OTN-GlobalSAFGSBGSB001-VR2W-119624-3,,VR2W,119624,ManmadePlatform,SAF_GSB-GSB001
OTN-Global,PSJPSJ001-VR2W-119100-4,OTN-GlobalSAFPSJPSJ001-VR2W-119100-4,,VR2W,119100,ManmadePlatform,SAF_SAF-PSJ001
OTN-Global,PSJPSJ002-U22-001-10106787-4,OTN-GlobalSAFPSJPSJ002-U22-001-10106787-4,,U22-001,10106787,ManmadePlatform,SAF_SAF-PSJ002
OTN-Global,PSJPSJ002-VR2W-120168-4,OTN-GlobalSAFPSJPSJ002-VR2W-120168-4,,VR2W,120168,ManmadePlatform,SAF_SAF-PSJ002
OTN-Global,PSJPSJ003-VR2W-112472-4,OTN-GlobalSAFPSJPSJ003-VR2W-112472-4,,VR2W,112472,ManmadePlatform,SAF_SAF-PSJ003
OTN-Global,SAFAB003-VR2W-120157-6,OTN-GlobalSAFSAFAB003-VR2W-120157-6,,VR2W,120157,ManmadePlatform,SAF_SAF-AB003
OTN-Global,SAFAB004-VR2W-119110-6,OTN-GlobalSAFSAFAB004-VR2W-119110-6,,VR2W,119110,ManmadePlatform,SAF_SAF-AB004
OTN-Global,SAFAB005-U22-001-10113348-6,OTN-GlobalSAFSAFAB005-U22-001-10113348-6,,U22-001,10113348,ManmadePlatform,SAF_SAF-AB005
OTN-Global,SAFAB005-VR2W-112419-6,OTN-GlobalSAFSAFAB005-VR2W-112419-6,,VR2W,112419,ManmadePlatform,SAF_SAF-AB005
OTN-Global,SAFAB006-VR2W-120150-6,OTN-GlobalSAFSAFAB006-VR2W-120150-6,,VR2W,120150,ManmadePlatform,SAF_SAF-AB006
OTN-Global,SAFAB007-VR2W-119617-6,OTN-GlobalSAFSAFAB007-VR2W-119617-6,,VR2W,119617,ManmadePlatform,SAF_SAF-AB007
OTN-Global,CPCP001-VR2W-119161-3,OTN-GlobalSAFCPCP001-VR2W-119161-3,,VR2W,119161,ManmadePlatform,SAF_SAF-CP001
OTN-Global,CPCP002-U22-001-10098872-3,OTN-GlobalSAFCPCP002-U22-001-10098872-3,,U22-001,10098872,ManmadePlatform,SAF_SAF-CP002
OTN-Global,CPCP002-VR2W-112345-3,OTN-GlobalSAFCPCP002-VR2W-112345-3,,VR2W,112345,ManmadePlatform,SAF_SAF-CP002
OTN-Global,CPCP003-VR2W-120152-3,OTN-GlobalSAFCPCP003-VR2W-120152-3,,VR2W,120152,ManmadePlatform,SAF_SAF-CP003
OTN-Global,ASF-Anticosti Island 5-VR2W-109522-2010,OTN-GlobalASFASF-Anticosti Island 5-VR2W-109522-2010,VEMCO,VR2W,109522,ManmadePlatform,ASF_ASF-Anticosti Island 5
OTN-Global,ASF-CB4-VR2-4293-2009,OTN-GlobalASFASF-CB4-VR2-4293-2009,VEMCO,VR2,4293,ManmadePlatform,ASF_ASF-CB4
OTN-Global,ASF-Barnaby Isand-VR2-1127-2009,OTN-GlobalASFASF-Barnaby Isand-VR2-1127-2009,VEMCO,VR2,1127,ManmadePlatform,ASF_ASF-Barnaby Isand
OTN-Global,ASF-Barnaby Isand-VR2-2605-2005,OTN-GlobalASFASF-Barnaby Isand-VR2-2605-2005,VEMCO,VR2,2605,ManmadePlatform,ASF_ASF-Barnaby Isand
OTN-Global,ASF-BARTIBOG UPSTREAM 1-VR2-2267-2009,OTN-GlobalASFASF-BARTIBOG UPSTREAM 1-VR2-2267-2009,VEMCO,VR2,2267,ManmadePlatform,ASF_ASF-BARTIBOG UPSTREAM 1
OTN-Global,ASF-BARTIBOG UPSTREAM 2-VR2-1152-2009,OTN-GlobalASFASF-BARTIBOG UPSTREAM 2-VR2-1152-2009,VEMCO,VR2,1152,ManmadePlatform,ASF_ASF-BARTIBOG UPSTREAM 2
OTN-Global,ASF-BB low-VR2-2599-2005,OTN-GlobalASFASF-BB low-VR2-2599-2005,VEMCO,VR2,2599,ManmadePlatform,ASF_ASF-BB low
OTN-Global,ASF-Belledune Coastline 1-VR2-2589-2005,OTN-GlobalASFASF-Belledune Coastline 1-VR2-2589-2005,VEMCO,VR2,2589,ManmadePlatform,ASF_ASF-Belledune Coastline 1
OTN-Global,ASF-Belledune Coastline 2-VR2-2593-2005,OTN-GlobalASFASF-Belledune Coastline 2-VR2-2593-2005,VEMCO,VR2,2593,ManmadePlatform,ASF_ASF-Belledune Coastline 2
OTN-Global,ASF-Belledune Coastline 3-VR2-2600-2005,OTN-GlobalASFASF-Belledune Coastline 3-VR2-2600-2005,VEMCO,VR2,2600,ManmadePlatform,ASF_ASF-Belledune Coastline 3
OTN-Global,ASF-Below Falls-VR2-1143-2007,OTN-GlobalASFASF-Below Falls-VR2-1143-2007,VEMCO,VR2,1143,ManmadePlatform,ASF_ASF-Below Falls
OTN-Global,ASF-Below Falls-VR2-1143-2008,OTN-GlobalASFASF-Below Falls-VR2-1143-2008,VEMCO,VR2,1143,ManmadePlatform,ASF_ASF-Below Falls
OTN-Global,ASF-Below Falls-VR2-2587-2007,OTN-GlobalASFASF-Below Falls-VR2-2587-2007,VEMCO,VR2,2587,ManmadePlatform,ASF_ASF-Below Falls
OTN-Global,ASF-Below Falls-VR2-3342-2008,OTN-GlobalASFASF-Below Falls-VR2-3342-2008,VEMCO,VR2,3342,ManmadePlatform,ASF_ASF-Below Falls
OTN-Global,ASF-Below Falls-VR2-3342-2009,OTN-GlobalASFASF-Below Falls-VR2-3342-2009,VEMCO,VR2,3342,ManmadePlatform,ASF_ASF-Below Falls
OTN-Global,ASF-Below Falls-VR2-3353-2007,OTN-GlobalASFASF-Below Falls-VR2-3353-2007,VEMCO,VR2,3353,ManmadePlatform,ASF_ASF-Below Falls
OTN-Global,ASF-Below Falls-VR2-3353-2009,OTN-GlobalASFASF-Below Falls-VR2-3353-2009,VEMCO,VR2,3353,ManmadePlatform,ASF_ASF-Below Falls
OTN-Global,ASF-Below Falls-VR2-5033-2010,OTN-GlobalASFASF-Below Falls-VR2-5033-2010,VEMCO,VR2,5033,ManmadePlatform,ASF_ASF-Below Falls
OTN-Global,ASF-Boies1-VR2-2606-2005,OTN-GlobalASFASF-Boies1-VR2-2606-2005,VEMCO,VR2,2606,ManmadePlatform,ASF_ASF-Boies1
OTN-Global,ASF-Boies2-VR2-2607-2005,OTN-GlobalASFASF-Boies2-VR2-2607-2005,VEMCO,VR2,2607,ManmadePlatform,ASF_ASF-Boies2
OTN-Global,ASF-Boiestown-Tuckaway Lodge-VR2-1013-2006,OTN-GlobalASFASF-Boiestown-Tuckaway Lodge-VR2-1013-2006,VEMCO,VR2,1013,ManmadePlatform,ASF_ASF-Boiestown-Tuckaway Lodge
OTN-Global,ASF-Boiestown-Tuckaway Lodge-VR2-1097-2007,OTN-GlobalASFASF-Boiestown-Tuckaway Lodge-VR2-1097-2007,VEMCO,VR2,1097,ManmadePlatform,ASF_ASF-Boiestown-Tuckaway Lodge
OTN-Global,ASF-Boston Brook-VR2-2609-2006,OTN-GlobalASFASF-Boston Brook-VR2-2609-2006,VEMCO,VR2,2609,ManmadePlatform,ASF_ASF-Boston Brook
OTN-Global,ASF-Boston Brook-VR2-3347-2005,OTN-GlobalASFASF-Boston Brook-VR2-3347-2005,VEMCO,VR2,3347,ManmadePlatform,ASF_ASF-Boston Brook
OTN-Global,ASF-Bridge 1-VR2-3352-2007,OTN-GlobalASFASF-Bridge 1-VR2-3352-2007,VEMCO,VR2,3352,ManmadePlatform,ASF_ASF-Bridge 1
