release_project_reference,datacenter_reference,tag_device_id,release_guid,tag_model,tag_serial_number
WRS,OTN-Global,V9-2X-1091885-A69-1303-48123,OTN-GlobalWRSV9-2X-1091885-A69-1303-48123,V9-2X,1091885
WRS,OTN-Global,V9-2X-1092157-A69-1303-48056,OTN-GlobalWRSV9-2X-1092157-A69-1303-48056,V9-2X,1092157
WRS,OTN-Global,V9-2X-1092158-A69-1303-48057,OTN-GlobalWRSV9-2X-1092158-A69-1303-48057,V9-2X,1092158
WRS,OTN-Global,V9-2X-1092159-A69-1303-48058,OTN-GlobalWRSV9-2X-1092159-A69-1303-48058,V9-2X,1092159
WRS,OTN-Global,V9-2X-1092160-A69-1303-48059,OTN-GlobalWRSV9-2X-1092160-A69-1303-48059,V9-2X,1092160
WRS,OTN-Global,V9-2X-1092554-A69-1303-48012,OTN-GlobalWRSV9-2X-1092554-A69-1303-48012,V9-2X,1092554
WRS,OTN-Global,V9-2X-1092555-A69-1303-48013,OTN-GlobalWRSV9-2X-1092555-A69-1303-48013,V9-2X,1092555
WRS,OTN-Global,10569,OTN-GlobalWRS10569,V9-1L,1050442
WRS,OTN-Global,10568,OTN-GlobalWRS10568,V9-1L,1050441
WRS,OTN-Global,10567,OTN-GlobalWRS10567,V9-1L,1050440
WRS,OTN-Global,10566,OTN-GlobalWRS10566,V9-1L,1050439
WRS,OTN-Global,10565,OTN-GlobalWRS10565,V9-1L,1050438
WRS,OTN-Global,10564,OTN-GlobalWRS10564,V9-1L,1050437
WRS,OTN-Global,10563,OTN-GlobalWRS10563,V9-1L,1050436
WRS,OTN-Global,10562,OTN-GlobalWRS10562,V9-1L,1050435
WRS,OTN-Global,10561,OTN-GlobalWRS10561,V9-1L,1050434
WRS,OTN-Global,10560,OTN-GlobalWRS10560,V9-1L,1050433
WRS,OTN-Global,10559,OTN-GlobalWRS10559,V9-1L,1050432
WRS,OTN-Global,10558,OTN-GlobalWRS10558,V9-1L,1050431
WRS,OTN-Global,10557,OTN-GlobalWRS10557,V9-1L,1050430
WRS,OTN-Global,10556,OTN-GlobalWRS10556,V9-1L,1050429
WRS,OTN-Global,A69-1303-37288,OTN-GlobalWRSA69-1303-37288,V9-1L,1092866
WRS,OTN-Global,A69-1303-37287,OTN-GlobalWRSA69-1303-37287,V9-1L,1092865
WRS,OTN-Global,A69-1303-37286,OTN-GlobalWRSA69-1303-37286,V9-1L,1092864
WRS,OTN-Global,A69-1303-37285,OTN-GlobalWRSA69-1303-37285,V9-1L,1092863
WRS,OTN-Global,A69-1303-37284,OTN-GlobalWRSA69-1303-37284,V9-1L,1092862
WRS,OTN-Global,A69-1303-37258,OTN-GlobalWRSA69-1303-37258,V9-1L,1092558
WRS,OTN-Global,A69-1303-37257,OTN-GlobalWRSA69-1303-37257,V9-1L,1092557
WRS,OTN-Global,A69-1303-37256,OTN-GlobalWRSA69-1303-37256,V9-1L,1092556
WRS,OTN-Global,A69-1303-37053,OTN-GlobalWRSA69-1303-37053,V9-1L,1092313
WRS,OTN-Global,A69-1303-37052,OTN-GlobalWRSA69-1303-37052,V9-1L,1092312
WRS,OTN-Global,A69-1303-37051,OTN-GlobalWRSA69-1303-37051,V9-1L,1092311
WRS,OTN-Global,A69-1303-37050,OTN-GlobalWRSA69-1303-37050,V9-1L,1092310
WRS,OTN-Global,A69-1303-37049,OTN-GlobalWRSA69-1303-37049,V9-1L,1092309
WRS,OTN-Global,A69-1303-37048,OTN-GlobalWRSA69-1303-37048,V9-1L,1092308
WRS,OTN-Global,A69-1303-37047,OTN-GlobalWRSA69-1303-37047,V9-1L,1092307
WRS,OTN-Global,A69-1303-37046,OTN-GlobalWRSA69-1303-37046,V9-1L,1092306
WRS,OTN-Global,A69-1303-37045,OTN-GlobalWRSA69-1303-37045,V9-1L,1092305
WRS,OTN-Global,A69-1303-37039,OTN-GlobalWRSA69-1303-37039,V9-1L,1092299
WRS,OTN-Global,A69-1303-36912,OTN-GlobalWRSA69-1303-36912,V9-1L,1092154
WRS,OTN-Global,A69-1303-36911,OTN-GlobalWRSA69-1303-36911,V9-1L,1092153
WRS,OTN-Global,A69-1303-36910,OTN-GlobalWRSA69-1303-36910,V9-1L,1092152
WRS,OTN-Global,A69-1303-36909,OTN-GlobalWRSA69-1303-36909,V9-1L,1092151
WRS,OTN-Global,A69-1303-36908,OTN-GlobalWRSA69-1303-36908,V9-1L,1092150
WRS,OTN-Global,A69-1303-36907,OTN-GlobalWRSA69-1303-36907,V9-1L,1092149
WRS,OTN-Global,A69-1303-36906,OTN-GlobalWRSA69-1303-36906,V9-1L,1092148
WRS,OTN-Global,A69-1303-36905,OTN-GlobalWRSA69-1303-36905,V9-1L,1092147
WRS,OTN-Global,A69-1303-36904,OTN-GlobalWRSA69-1303-36904,V9-1L,1092146
WRS,OTN-Global,A69-1303-36903,OTN-GlobalWRSA69-1303-36903,V9-1L,1092145
WRS,OTN-Global,A69-1303-36902,OTN-GlobalWRSA69-1303-36902,V9-1L,1092144
WRS,OTN-Global,A69-1303-36901,OTN-GlobalWRSA69-1303-36901,V9-1L,1092143
WRS,OTN-Global,A69-1303-36900,OTN-GlobalWRSA69-1303-36900,V9-1L,1092142
WRS,OTN-Global,A69-1303-36899,OTN-GlobalWRSA69-1303-36899,V9-1L,1092141
WRS,OTN-Global,A69-1303-36898,OTN-GlobalWRSA69-1303-36898,V9-1L,1092140
WRS,OTN-Global,A69-1303-36897,OTN-GlobalWRSA69-1303-36897,V9-1L,1092139
WRS,OTN-Global,A69-1303-36896,OTN-GlobalWRSA69-1303-36896,V9-1L,1092138
WRS,OTN-Global,A69-1303-36895,OTN-GlobalWRSA69-1303-36895,V9-1L,1092137
WRS,OTN-Global,A69-1303-36894,OTN-GlobalWRSA69-1303-36894,V9-1L,1092136
WRS,OTN-Global,A69-1303-36893,OTN-GlobalWRSA69-1303-36893,V9-1L,1092135
WRS,OTN-Global,A69-1303-36892,OTN-GlobalWRSA69-1303-36892,V9-1L,1092134
WRS,OTN-Global,A69-1303-36891,OTN-GlobalWRSA69-1303-36891,V9-1L,1092133
WRS,OTN-Global,A69-1303-36890,OTN-GlobalWRSA69-1303-36890,V9-1L,1092132
