detection_guid,time,latitude,longitude,tracker_reference,detection_reference_id,detection_reference_type,detection_serial_number,sensor_data,sensor_data_units,deployment_id,detection_quality,depth,position_data_source,,datacenter_reference
nepALSEAALSEA-4955221,2009-04-11T07:16:47Z,45.7347839,-123.8748561,NOAK,NOAK-12948,ANIMAL,1727,Null,Metres,NEHALEM-CONFLUENCE-VR2-1727-5669,Null,Null,Receiver Metadata,,nep
nepALSEAALSEA-4955222,2009-04-11T07:19:18Z,45.7347839,-123.8748561,NOAK,NOAK-12948,ANIMAL,1727,Null,Metres,NEHALEM-CONFLUENCE-VR2-1727-5669,Null,Null,Receiver Metadata,,nep
nepALSEAALSEA-4955223,2009-04-11T07:19:44Z,45.7347839,-123.8748561,NOAK,NOAK-12948,ANIMAL,1727,Null,Metres,NEHALEM-CONFLUENCE-VR2-1727-5669,Null,Null,Receiver Metadata,,nep
nepALSEAALSEA-4955224,2009-04-11T07:20:16Z,45.7347839,-123.8748561,NOAK,NOAK-12948,ANIMAL,1727,Null,Metres,NEHALEM-CONFLUENCE-VR2-1727-5669,Null,Null,Receiver Metadata,,nep
nepALSEAALSEA-4955225,2009-04-11T07:20:45Z,45.7347839,-123.8748561,NOAK,NOAK-12948,ANIMAL,1727,Null,Metres,NEHALEM-CONFLUENCE-VR2-1727-5669,Null,Null,Receiver Metadata,,nep
nepALSEAALSEA-4955226,2009-04-11T07:21:10Z,45.7347839,-123.8748561,NOAK,NOAK-12948,ANIMAL,1727,Null,Metres,NEHALEM-CONFLUENCE-VR2-1727-5669,Null,Null,Receiver Metadata,,nep
nepALSEAALSEA-4955227,2009-04-11T07:21:40Z,45.7347839,-123.8748561,NOAK,NOAK-12948,ANIMAL,1727,Null,Metres,NEHALEM-CONFLUENCE-VR2-1727-5669,Null,Null,Receiver Metadata,,nep
nepALSEAALSEA-4955228,2009-04-11T07:22:05Z,45.7347839,-123.8748561,NOAK,NOAK-12948,ANIMAL,1727,Null,Metres,NEHALEM-CONFLUENCE-VR2-1727-5669,Null,Null,Receiver Metadata,,nep
nepALSEAALSEA-4955229,2009-04-11T07:22:36Z,45.7347839,-123.8748561,NOAK,NOAK-12948,ANIMAL,1727,Null,Metres,NEHALEM-CONFLUENCE-VR2-1727-5669,Null,Null,Receiver Metadata,,nep
nepALSEAALSEA-4955230,2009-04-11T07:23:03Z,45.7347839,-123.8748561,NOAK,NOAK-12948,ANIMAL,1727,Null,Metres,NEHALEM-CONFLUENCE-VR2-1727-5669,Null,Null,Receiver Metadata,,nep
nepALSEAALSEA-4955231,2009-04-11T07:23:23Z,45.7347839,-123.8748561,NOAK,NOAK-12948,ANIMAL,1727,Null,Metres,NEHALEM-CONFLUENCE-VR2-1727-5669,Null,Null,Receiver Metadata,,nep
nepALSEAALSEA-4955232,2009-04-11T07:23:44Z,45.7347839,-123.8748561,NOAK,NOAK-12948,ANIMAL,1727,Null,Metres,NEHALEM-CONFLUENCE-VR2-1727-5669,Null,Null,Receiver Metadata,,nep
nepALSEAALSEA-4955233,2009-04-11T07:23:48Z,45.7347839,-123.8748561,NOAK,NOAK-12948,ANIMAL,2248,Null,Metres,NEHALEM-CONFLUENCE-VR2-2248-5670,Null,Null,Receiver Metadata,,nep
nepALSEAALSEA-4955234,2009-04-11T07:24:09Z,45.7347839,-123.8748561,NOAK,NOAK-12948,ANIMAL,2248,Null,Metres,NEHALEM-CONFLUENCE-VR2-2248-5670,Null,Null,Receiver Metadata,,nep
nepALSEAALSEA-4955235,2009-04-11T07:24:55Z,45.7347839,-123.8748561,NOAK,NOAK-12948,ANIMAL,2248,Null,Metres,NEHALEM-CONFLUENCE-VR2-2248-5670,Null,Null,Receiver Metadata,,nep
