platform_project_reference,datacenter_reference,platform_reference_id,platform_guid,platform_type,platform_depth,platform_name,latitude,longitude
ADM,nep,ADMIRALTY001,nepADMADMIRALTY001,Underwater mooring,60,ADMIRALTY001,48.07304,-122.61662
ADM,nep,ADMIRALTY002,nepADMADMIRALTY002,Underwater mooring,123,ADMIRALTY002,48.07201,-122.6235
ADM,nep,ADMIRALTY003,nepADMADMIRALTY003,Underwater mooring,159,ADMIRALTY003,48.07204,-122.62987
ADM,nep,ADMIRALTY004,nepADMADMIRALTY004,Underwater mooring,146,ADMIRALTY004,48.07323,-122.63297
ADM,nep,ADMIRALTY005,nepADMADMIRALTY005,Underwater mooring,128,ADMIRALTY005,48.07158,-122.64118
ADM,nep,ADMIRALTY006,nepADMADMIRALTY006,Underwater mooring,134,ADMIRALTY006,48.07332,-122.644
ADM,nep,ADMIRALTY007,nepADMADMIRALTY007,Underwater mooring,119,ADMIRALTY007,48.07185,-122.64923
ADM,nep,ADMIRALTY008,nepADMADMIRALTY008,Underwater mooring,86,ADMIRALTY008,48.07331,-122.655
ADM,nep,ADMIRALTY009,nepADMADMIRALTY009,Underwater mooring,75,ADMIRALTY009,48.07335,-122.66151
ADM,nep,ADMIRALTY010,nepADMADMIRALTY010,Underwater mooring,79,ADMIRALTY010,48.07359,-122.66689
ADM,nep,ADMIRALTY011,nepADMADMIRALTY011,Underwater mooring,101,ADMIRALTY011,48.07327,-122.67194
ADM,nep,ADMIRALTY012,nepADMADMIRALTY012,Underwater mooring,88,ADMIRALTY012,48.07331,-122.67749
ADM,nep,ADMIRALTY013,nepADMADMIRALTY013,Underwater mooring,20,ADMIRALTY013,48.07337,-122.68244
ADM,nep,ADM-test tags,nepADMADM-test tags,Underwater mooring,Null,ADM-test tags,48.1,-122.4
ADM,nep,Armitage Island,nepADMArmitage Island,Underwater mooring,Null,Armitage Island,48.5345,-122.7956
ADM,nep,Cypress Island,nepADMCypress Island,Underwater mooring,Null,Cypress Island,48.5957,-122.7301
ADM,nep,Freeman Island,nepADMFreeman Island,Underwater mooring,Null,Freeman Island,48.6991,-122.9522
ADM,nep,Iceberg Point,nepADMIceberg Point,Underwater mooring,Null,Iceberg Point,48.4234,-122.8927
ADM,nep,Lawrence Point,nepADMLawrence Point,Underwater mooring,Null,Lawrence Point,48.6597,-122.7344
ADM,nep,Lime Kiln,nepADMLime Kiln,Underwater mooring,Null,Lime Kiln,48.5157,-123.1529
ADM,nep,NW Blakely Dock,nepADMNW Blakely Dock,Underwater mooring,Null,NW Blakely Dock,48.5856,-122.8173
ADM,nep,Obstruction Pass,nepADMObstruction Pass,Underwater mooring,Null,Obstruction Pass,48.6003,-122.8305
ADM,nep,Patos Island,nepADMPatos Island,Underwater mooring,Null,Patos Island,48.7856,-122.9705
ADM,nep,Point George,nepADMPoint George,Underwater mooring,Null,Point George,48.5608,-122.9892
