deployment_project_reference,deployment_guid,latitude,longitude,time,recovery_datetime_utc,array_name,bottom_depth,depth,deployment_comments,datacenter_reference
ADM,nepADMADMIRALTY001-VR2-4170-1319,48.07304,-122.61662,2008-04-14T18:14:00Z,2008-07-19T16:36:00Z,ADM,60,60,Recovery position is ~644m from deployment position. VESSEL DRIFTING NORTH ON EBB TIDE; UNIT DRAGGED TOWARD VESSEL (WEST) DISPLACING THE UNIT DURING RECOVERY EFFORT,nep
ADM,nepADMADMIRALTY001-VR3-UWM-97-1732,48.0728,-122.6164833,2009-04-23T18:47:00Z,2014-02-03T06:23:38Z,ADM,62.2,57.2,Null,nep
ADM,nepADMADMIRALTY002-VR2-4171-1320,48.07201,-122.6235,2008-04-14T18:22:00Z,2008-07-19T15:56:00Z,ADM,123,123,Recovery position is ~495m from deployment position. VESSEL DRIFTING NORTH ON EBB TIDE; UNIT DRAGGED TOWARD VESSEL DISPLACING THE UNIT DURING RECOVERY EFFORT,nep
ADM,nepADMADMIRALTY002-VR3-UWM-124-1733,48.07312,-122.62187,2009-04-23T19:04:00Z,2014-02-03T05:03:36Z,ADM,122.5,117.5,Null,nep
ADM,nepADMADMIRALTY003-VR2-4175-1321,48.07204,-122.62987,2008-04-14T18:30:00Z,2008-07-18T22:56:00Z,ADM,159,159,Recovery position is ~352m from deployment position. VESSEL DRIFTING NORTH ON EBB TIDE; UNIT DRAGGED TOWARD VESSEL DISPLACING THE UNIT DURING RECOVERY EFFORT,nep
ADM,nepADMADMIRALTY003-VR3-UWM-164-1734,48.07326,-122.62757,2009-04-23T19:27:00Z,,ADM,157.3,152.3,Null,nep
ADM,nepADMADMIRALTY004-VR2-4176-1322,48.07323,-122.63297,2008-04-14T18:38:00Z,2008-07-18T23:27:00Z,ADM,146,146,Recovery position is ~342m from deployment position. VESSEL DRIFTING NORTH ON EBB TIDE; UNIT DRAGGED TOWARD VESSEL DISPLACING THE UNIT DURING RECOVERY EFFORT,nep
ADM,nepADMADMIRALTY004-VR3-UWM-172-1735,48.07308,-122.63303,2009-04-23T19:37:00Z,2014-02-03T06:34:25Z,ADM,146.3,141.3,Null,nep
ADM,nepADMADMIRALTY005-VR2-4178-1323,48.07158,-122.64118,2008-04-14T18:45:00Z,2008-07-18T23:40:00Z,ADM,128,128,Recovery position is ~426m from deployment position. VESSEL DRIFTING SOUTH ON FLOOD TIDE; UNIT DRAGGED TOWARD VESSEL (EAST) DISPLACING THE UNIT DURING RECOVERY EFFORT,nep
ADM,nepADMADMIRALTY005-VR3-UWM-176-1736,48.07304,-122.63865,2009-04-23T19:47:00Z,,ADM,128,123,MALFUNCTION: UNIT DID NOT RESPOND DURING SUB-SURFACE INTERROGATION,nep
ADM,nepADMADMIRALTY005-VR3-UWM-186-1737,48.07245,-122.63857,2009-04-27T14:52:00Z,,ADM,129.8,124.8,Null,nep
ADM,nepADMADMIRALTY006-VR2-4179-1324,48.07332,-122.644,2008-04-14T18:53:00Z,2008-07-18T23:53:00Z,ADM,134,134,Recovery position is ~1.2km from deployment position. VESSEL DRIFTING SOUTH ON FLOOD TIDE; UNIT DRAGGED TOWARD VESSEL (EAST) DISPLACING THE UNIT DURING RECOVERY EFFORT,nep
ADM,nepADMADMIRALTY006-VR3-UWM-380-1738,48.07301,-122.64427,2009-04-23T03:00:00Z,,ADM,133.5,128.5,MALFUNCTION: UNIT DID NOT RESPOND DURING SUB-SURFACE INTERROGATION,nep
ADM,nepADMADMIRALTY006-VR3-UWM-418-1754,48.07293,-122.64451,2010-03-31T15:59:00Z,,ADM,133.5,128.5,Null,nep
ADM,nepADMADMIRALTY007-VR2-4180-1325,48.07185,-122.64923,2008-04-14T19:03:00Z,2008-07-19T00:03:00Z,ADM,119,119,Recovery position is ~1.3km from deployment position. VESSEL DRIFTING SOUTH ON FLOOD TIDE; UNIT DRAGGED TOWARD VESSEL (EAST) DISPLACING THE UNIT DURING RECOVERY EFFORT,nep
ADM,nepADMADMIRALTY007-VR3-UWM-382-1739,48.07318,-122.64951,2009-04-23T06:50:00Z,,ADM,122.5,117.5,malfunction,nep
ADM,nepADMADMIRALTY008-VR2-4181-1326,48.07331,-122.655,2008-04-14T19:12:00Z,2008-07-19T00:12:00Z,ADM,86,86,Recovery position is ~1.8km from deployment position. VESSEL DRIFTING SOUTH ON FLOOD TIDE; UNIT DRAGGED TOWARD VESSEL (EAST) DISPLACING THE UNIT DURING RECOVERY EFFORT,nep
ADM,nepADMADMIRALTY008-VR3-UWM-383-1740,48.07322,-122.65531,2009-04-23T06:26:00Z,,ADM,87.8,82.8,Null,nep
ADM,nepADMADMIRALTY009-VR2-4182-1327,48.07335,-122.66151,2008-04-14T19:23:00Z,2008-07-17T23:00:00Z,ADM,75,75,Recovery position is ~56Nullm from deployment position and 2.3km from nearest neighbour. VESSEL DRIFTING SOUTH ON FLOOD TIDE; UNIT DRAGGED TOWARD VESSEL (WEST) DISPLACING THE UNIT DURING RECOVERY EFFORT,nep
ADM,nepADMADMIRALTY009-VR3-UWM-398-1741,48.07321,-122.66081,2009-04-23T22:13:00Z,,ADM,73.2,68.2,Null,nep
ADM,nepADMADMIRALTY010-VR2-4188-1328,48.07359,-122.66689,2008-04-14T19:19:00Z,2008-07-17T22:54:00Z,ADM,79,79,Recovery position is ~359m from deployment position.  VESSEL DRIFTING SOUTH ON FLOOD TIDE; UNIT DRAGGED TOWARD VESSEL (WEST) DISPLACING THE UNIT DURING RECOVERY EFFORT,nep
ADM,nepADMADMIRALTY010-VR3-UWM-399-1742,48.07326,-122.66601,2009-04-23T20:20:00Z,2014-02-03T00:18:45Z,ADM,76.8,71.8,Null,nep
ADM,nepADMADMIRALTY011-VR2-4194-1329,48.07327,-122.67194,2008-04-14T19:35:00Z,2008-07-17T22:49:00Z,ADM,101,101,Recovery position is ~153m from deployment position.  VESSEL DRIFTING SOUTH ON FLOOD TIDE; UNIT DRAGGED TOWARD VESSEL (WEST) DISPLACING THE UNIT DURING RECOVERY EFFORT,nep
ADM,nepADMADMIRALTY011-VR3-UWM-401-1743,48.07323,-122.67133,2009-04-23T10:33:00Z,2014-02-03T00:18:55Z,ADM,96.9,91.9,Null,nep
ADM,nepADMADMIRALTY012-VR2-4195-1330,48.07331,-122.67749,2008-04-14T21:21:00Z,2008-07-17T22:10:00Z,ADM,88,88,Null,nep
ADM,nepADMADMIRALTY012-VR3-UWM-402-1744,48.07326,-122.67697,2009-04-23T09:40:00Z,2014-02-02T07:37:05Z,ADM,93.3,88.3,Null,nep
ADM,nepADMADMIRALTY013-VR2-4196-1331,48.07337,-122.68244,2008-04-14T21:30:00Z,2008-07-17T21:00:00Z,ADM,20,20,Null,nep
ADM,nepADMADMIRALTY013-VR3-UWM-403-1745,48.07325,-122.68253,2009-04-23T10:10:00Z,2014-02-02T10:25:03Z,ADM,20.1,15.1,malfunction,nep
ADM,nepADMArmitage Island-VR2W-100687,48.53449,-122.79557,2012-10-01T03:00:00Z,2013-10-14T03:00:00Z,ADM,13.2,0,Null,nep
ADM,nepADMArmitage Island-VR2W-100905-1,48.53449,-122.79557,2011-11-15T04:00:00Z,2012-10-01T03:00:00Z,ADM,0,0,Null,nep
ADM,nepADMCypress Island-VR2W-100905,48.59568,-122.7301,2012-10-01T03:00:00Z,2013-10-14T03:00:00Z,ADM,16.4,0,Null,nep
ADM,nepADMCypress Island-VR2W-101596-1,48.59568,-122.7301,2011-11-02T03:00:00Z,2012-10-01T03:00:00Z,ADM,0,0,Null,nep
ADM,nepADMFreeman Island-VR2W-100686,48.69907,-122.9522,2012-09-12T03:00:00Z,2013-10-14T03:00:00Z,ADM,0,0,Null,nep
ADM,nepADMFreeman Island-VR2W-102780-1,48.69907,-122.9522,2011-11-15T04:00:00Z,2012-09-02T03:00:00Z,ADM,0,0,Null,nep
ADM,nepADMIceberg Point-VR2W-101004-1,48.42341,-122.89267,2011-11-16T04:00:00Z,2013-07-21T03:00:00Z,ADM,0,0,Null,nep
ADM,nepADMIceberg Point-VR2W-101589,48.42341,-122.89267,2013-05-03T03:00:00Z,2013-10-17T03:00:00Z,ADM,0,0,Null,nep
ADM,nepADMLawrence Point-VR2W-100913-1,48.65972,-122.73442,2011-08-25T03:00:00Z,2012-09-11T03:00:00Z,ADM,0,0,Null,nep
ADM,nepADMLawrence Point-VR2W-101001,48.65972,-122.74342,2012-09-11T03:00:00Z,2013-10-14T03:00:00Z,ADM,0,0,Null,nep
ADM,nepADMLime Kiln-VR2W-100914,48.51571,-123.15293,2008-11-09T04:00:00Z,2011-08-25T03:00:00Z,ADM,7,0,Null,nep
ADM,nepADMLime Kiln-VR2W-101001-1,48.51571,-123.15293,2011-08-25T03:00:00Z,2012-02-23T04:00:00Z,ADM,0,0,Null,nep
ADM,nepADMLime Kiln-VR2W-110849,48.51571,-123.15293,2012-09-11T03:00:00Z,2013-09-14T03:00:00Z,ADM,0,0,Null,nep
ADM,nepADMNW Blakely Dock-VR2W-101594-1,48.58557,-122.81727,2011-08-25T03:00:00Z,2012-10-01T03:00:00Z,ADM,0,0,Null,nep
ADM,nepADMNW Blakely Dock-VR2W-101594-2,48.58557,-122.81727,2012-10-02T03:00:00Z,2013-02-18T04:00:00Z,ADM,0,0,Null,nep
ADM,nepADMNW Blakely Dock-VR2W-101596,48.58557,-122.81727,2012-10-01T03:00:00Z,2013-10-14T03:00:00Z,ADM,0,0,Null,nep
ADM,nepADMObstruction Pass-VR2W-100912-1,48.60028,-122.83051,2011-08-25T03:00:00Z,2011-11-12T04:00:00Z,ADM,0,0,Null,nep
ADM,nepADMObstruction Pass-VR2W-100912-2,48.60028,-122.83051,2012-10-01T03:01:00Z,2013-10-14T03:00:00Z,ADM,0,0,Null,nep
ADM,nepADMPatos Island-VR2W-100914,48.78558,-122.97047,2013-05-10T03:00:00Z,2013-10-17T03:00:00Z,ADM,0,0,Null,nep
ADM,nepADMPatos Island-VR2W-110848-1,48.78558,-122.97047,2011-11-07T04:00:00Z,2013-07-21T03:00:00Z,ADM,0,0,Null,nep
ADM,nepADMPoint George-VR2W-100914-1,48.56081,-122.98915,2011-08-25T03:00:00Z,2013-04-26T03:00:00Z,ADM,0,0,Null,nep
ADM,nepADMPoint George-VR2W-108404,48.56081,-122.98915,2013-04-24T03:00:00Z,2013-10-14T03:00:00Z,ADM,0,0,Null,nep
ADM,nepADMSentinel Island-VR2W-100687-1,48.6392,-123.16432,2011-11-11T04:00:00Z,2012-09-12T03:00:00Z,ADM,0,0,Null,nep
ADM,nepADMSentinel Island-VR2W-102780,48.6392,-123.16432,2012-09-12T03:00:00Z,2013-12-16T04:00:00Z,ADM,0,0,Null,nep
ADM,nepADMSJ007-VR2W-100912-2,48.6004,-122.8292,2011-11-12T04:01:00Z,2012-10-01T03:00:00Z,ADM,0,0,Null,nep
ADM,nepADMSJ013-VR2W-100463,48.55823,-123.17372,2011-08-18T03:00:00Z,2013-02-19T04:00:00Z,ADM,7.7,0,Null,nep
ADM,nepADMSJ013-VR2W-101594,48.55823,-123.17372,2013-02-19T04:00:00Z,2013-10-17T03:00:00Z,ADM,7.6,0,Null,nep
