release_guid,latitude,longitude,time,expected_enddate,manufacturer,transmittername
,degrees_north,degrees_east,UTC,UTC,,
OTN-GlobalWRSV9-2X-1091885-A69-1303-48123,44.43351,-64.20316,2010-04-21T18:20:43Z,2010-06-22T18:18:38Z,VEMCO,A69-1303-48123
OTN-GlobalWRSV9-2X-1092157-A69-1303-48056,45.12417,-61.97775,2010-05-04T01:51:40Z,2010-06-23T22:05:52Z,VEMCO,A69-1303-48056
OTN-GlobalWRSV9-2X-1092158-A69-1303-48057,45.10567,-61.96656,2010-05-04T02:15:55Z,2010-06-23T21:18:03Z,VEMCO,A69-1303-48057
OTN-GlobalWRSV9-2X-1092159-A69-1303-48058,44.36644,-64.48,2010-04-24T21:59:08Z,2010-06-15T22:52:23Z,VEMCO,A69-1303-48058
OTN-GlobalWRSV9-2X-1092160-A69-1303-48059,44.24113,-64.30659,2010-04-23T18:29:18Z,2010-06-19T17:05:03Z,VEMCO,A69-1303-48059
OTN-GlobalWRSV9-2X-1092554-A69-1303-48012,44.90864,-62.51151,2010-04-16T17:52:41Z,2010-06-17T20:01:19Z,VEMCO,A69-1303-48012
OTN-GlobalWRSV9-2X-1092555-A69-1303-48013,44.86397,-62.48551,2010-04-29T22:53:38Z,2010-06-17T17:32:15Z,VEMCO,A69-1303-48013
OTN-GlobalWRS10569,44.95838,-62.61541,2008-05-17T06:40:00Z,2008-10-21T06:40:00Z,VEMCO,A69-1303-10569
OTN-GlobalWRS10568,44.95838,-62.61541,2008-05-17T06:40:00Z,2008-10-21T06:40:00Z,VEMCO,A69-1303-10568
OTN-GlobalWRS10567,44.95838,-62.61541,2008-05-17T06:40:00Z,2008-10-21T06:40:00Z,VEMCO,A69-1303-10567
OTN-GlobalWRS10566,44.95838,-62.61541,2008-05-17T06:40:00Z,2008-10-21T06:40:00Z,VEMCO,A69-1303-10566
OTN-GlobalWRS10565,44.95838,-62.61541,2008-05-17T06:40:00Z,2008-10-21T06:40:00Z,VEMCO,A69-1303-10565
OTN-GlobalWRS10564,44.95838,-62.61541,2008-05-17T06:40:00Z,2008-10-21T06:40:00Z,VEMCO,A69-1303-10564
OTN-GlobalWRS10563,44.95838,-62.61541,2008-05-17T06:40:00Z,2008-10-21T06:40:00Z,VEMCO,A69-1303-10563
OTN-GlobalWRS10562,44.95838,-62.61541,2008-05-17T06:40:00Z,2008-10-21T06:40:00Z,VEMCO,A69-1303-10562
OTN-GlobalWRS10561,44.95838,-62.61541,2008-05-17T06:40:00Z,2008-10-21T06:40:00Z,VEMCO,A69-1303-10561
OTN-GlobalWRS10560,44.95838,-62.61541,2008-05-17T06:40:00Z,2008-10-21T06:40:00Z,VEMCO,A69-1303-10560
